Track_id,Artist,Title,Album,Genre,Style,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Time,Key,Camelot,Spotify_key,Spotify_mode,spotify_id,Cluster
1449729_B4,L.T.D.,Lady Love,Shine On,Funk / Soul,"Soul, Funk, Disco",1,0.809,0.226,-17.326,0.0511,0.439,2.13e-05,0.0644,0.538,122.737,4.0,3:42,D#/E♭ Major,5B,3.0,1.0,5W5Y3bSiMXZYoKIOqk7cUB,2.0
8383822_A1,Quincy Jones,Ai No Corrida,The Dude,"Electronic, Jazz, Funk / Soul","Soul-Jazz, Downtempo, Disco",52,0.798,0.748,-12.163,0.036,0.0555,0.105,0.0615,0.896,122.429,4.0,6:26,B Minor,10A,11.0,0.0,0SzAKZYTUvDLqlPgllEb3N,2.0
8383822_A2,Quincy Jones,The Dude,The Dude,"Electronic, Jazz, Funk / Soul","Soul-Jazz, Downtempo, Disco",38,0.827,0.556,-12.897,0.0479,0.0569,0.00609,0.0761,0.793,96.114,4.0,5:37,D Major,10B,2.0,1.0,0YeMZY4x8FbVIvFmaphMp6,2.0
8383822_A3,Quincy Jones,Just Once,The Dude,"Electronic, Jazz, Funk / Soul","Soul-Jazz, Downtempo, Disco",55,0.543,0.241,-17.245,0.0404,0.733,0.0,0.0944,0.326,71.878,4.0,4:33,C Major,8B,0.0,1.0,62YP3NEB4FVPJ90XcgJQKS,0.0
8383822_B1,Quincy Jones,Something Special,The Dude,"Electronic, Jazz, Funk / Soul","Soul-Jazz, Downtempo, Disco",38,0.738,0.471,-17.062,0.0376,0.372,0.291,0.0683,0.753,102.895,3.0,3:57,E Minor,9A,4.0,0.0,6C1WGhMEFYL1M0ERmfzUI7,2.0
8383822_B2,Quincy Jones,Razzamatazz,The Dude,"Electronic, Jazz, Funk / Soul","Soul-Jazz, Downtempo, Disco",40,0.835,0.478,-13.67,0.051,0.15,0.000434,0.0519,0.83,120.169,4.0,4:15,G Minor,6A,7.0,0.0,3QVrHveKwEblqYStYJbNop,2.0
8383822_B3,Quincy Jones,One Hundred Ways,The Dude,"Electronic, Jazz, Funk / Soul","Soul-Jazz, Downtempo, Disco",51,0.626,0.25,-17.499,0.0503,0.817,4.33e-05,0.0668,0.345,90.103,4.0,4:19,D#/E♭ Major,5B,3.0,1.0,0Yp603BgzIKDDcSUBrYYba,0.0
8383822_B4,Quincy Jones,Velas,The Dude,"Electronic, Jazz, Funk / Soul","Soul-Jazz, Downtempo, Disco",31,0.438,0.27,-19.46,0.129,0.513,0.0129,0.0738,0.169,174.306,4.0,4:05,D Minor,7A,2.0,0.0,5N85KoYje6CK7OhtdCkNTA,7.0
8383822_B5,Quincy Jones,Turn On The Action,The Dude,"Electronic, Jazz, Funk / Soul","Soul-Jazz, Downtempo, Disco",27,0.737,0.571,-13.969,0.106,0.219,0.0,0.0651,0.813,120.022,4.0,4:19,D Major,10B,2.0,1.0,30kTlqX4Kx2I7rQtqtPsSU,2.0
1267938_A1,The Dramatics,I Just Wanna Dance With You,Any Time Any Place,Funk / Soul,"Soul, Ballad, Disco, Funk",2,0.785,0.884,-12.441,0.0779,0.0478,6.11e-06,0.149,0.555,115.128,4.0,4:46,D Minor,7A,2.0,0.0,2GQvfGGDcknBp7GuPhPOek,2.0
