Track_id,Artist,Title,Album,Genre,Style,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Time,Key,Camelot,Spotify_key,Spotify_mode,spotify_id
7685872_B7,Dr. Dre,Loose Cannons,Compton (A Soundtrack By Dr. Dre),Hip Hop,"Gangsta, Trap",29,0.485,0.943,-5.051,0.461,0.0732,0.0,0.0686,0.337,129.385,4,4:13,G Major,9B,7,1,5Pkik37ckb0NKfsxkVH5Ky
7685872_B8,Dr. Dre,Issues,Compton (A Soundtrack By Dr. Dre),Hip Hop,"Gangsta, Trap",31,0.605,0.859,-4.672,0.371,0.00125,0.0,0.105,0.317,90.753,4,3:41,E Minor,9A,4,0,1658HFZEblbVdqU1VBPqDO
7685872_C9,Dr. Dre,Deep Water,Compton (A Soundtrack By Dr. Dre),Hip Hop,"Gangsta, Trap",41,0.705,0.786,-5.417,0.355,0.0306,3.27e-05,0.906,0.473,101.995,4,5:11,C♯/D♭ Major,3B,1,1,7LUOpegdxmYkaHjJXdHuZ3
7685872_C10,Dr. Dre,One Shot One Kill,Compton (A Soundtrack By Dr. Dre),Hip Hop,"Gangsta, Trap",0,0.545,0.915,-7.501,0.154,6.11e-05,0.00185,0.524,0.134,123.969,4,4:30,D Major,10B,2,1,4tYpE7etDUx08uq3OJEcbT
7685872_C11,Dr. Dre,Just Another Day,Compton (A Soundtrack By Dr. Dre),Hip Hop,"Gangsta, Trap",16,0.509,0.898,-4.284,0.107,0.0114,0.0,0.42,0.399,83.367,4,4:28,A Minor,8A,9,0,7xcyuKFEMaiSAgoaaM0X3Y
7685872_C12,Dr. Dre,For The Love Of Money,Compton (A Soundtrack By Dr. Dre),Hip Hop,"Gangsta, Trap",36,0.733,0.759,-4.691,0.0777,0.000257,1.93e-05,0.306,0.0917,134.037,4,4:08,A#/B♭ Minor,3A,10,0,1pk4C9uzUEiraK51CS2xyz
7685872_D13,Dr. Dre,Satisfiction,Compton (A Soundtrack By Dr. Dre),Hip Hop,"Gangsta, Trap",28,0.416,0.831,-3.351,0.167,0.000608,5.02e-06,0.552,0.44,87.874,4,4:24,C♯/D♭ Major,3B,1,1,4EhfGgpcTjxRaRVCsEP9lO
7685872_D14,Dr. Dre,Animals,Compton (A Soundtrack By Dr. Dre),Hip Hop,"Gangsta, Trap",35,0.693,0.877,-4.491,0.339,0.116,0.000111,0.233,0.69,90.015,4,3:47,C♯/D♭ Major,3B,1,1,6EOu0P4RPxZZB8QNeYrvs2
7685872_D15,Dr. Dre,Medicine Man,Compton (A Soundtrack By Dr. Dre),Hip Hop,"Gangsta, Trap",47,0.527,0.925,-4.499,0.493,0.0196,0.0,0.886,0.364,96.126,4,4:14,A Major,11B,9,1,3hZnp7n8WI3UnnURw1i1DF
7685872_D16,Dr. Dre,Talking To My Diary,Compton (A Soundtrack By Dr. Dre),Hip Hop,"Gangsta, Trap",45,0.533,0.939,-1.883,0.0766,0.000363,7.24e-06,0.0666,0.341,83.684,4,4:23,G Major,9B,7,1,7KZs2C1UGjrIfVXXuvtb20
