album_id,artist,album,track_id,title
2470454,Ray Parker Jr.,A Woman Needs Love,2470454_A4,All In The Way You Get Down
2470454,Ray Parker Jr.,A Woman Needs Love,2470454_B2,Old Pro
2470454,Ray Parker Jr.,A Woman Needs Love,2470454_B3,Still In The Groove
2470454,Ray Parker Jr.,A Woman Needs Love,2470454_B4,So Into You
729517,Patti Smith Group,Wave,729517_A1,Frederick
729517,Patti Smith Group,Wave,729517_A2,Dancing Barefoot
729517,Patti Smith Group,Wave,729517_A3,So You Want To Be (A Rock ’n’ Roll Star)
729517,Patti Smith Group,Wave,729517_A4,Hymn
729517,Patti Smith Group,Wave,729517_A5,Revenge
729517,Patti Smith Group,Wave,729517_B1,Citizen Ship
729517,Patti Smith Group,Wave,729517_B2,Seven Ways Of Going
729517,Patti Smith Group,Wave,729517_B3,Broken Flag
729517,Patti Smith Group,Wave,729517_B4,Wave
10089154,OutKast,Speakerboxxx / The Love Below,10089154_A1,Intro
10089154,OutKast,Speakerboxxx / The Love Below,10089154_A2,GhettoMusick
10089154,OutKast,Speakerboxxx / The Love Below,10089154_A3,Unhappy
10089154,OutKast,Speakerboxxx / The Love Below,10089154_A4,Bowtie
10089154,OutKast,Speakerboxxx / The Love Below,10089154_A5,The Way You Move
10089154,OutKast,Speakerboxxx / The Love Below,10089154_B1,The Rooster
10089154,OutKast,Speakerboxxx / The Love Below,10089154_B2,Bust
10089154,OutKast,Speakerboxxx / The Love Below,10089154_B3,War
10089154,OutKast,Speakerboxxx / The Love Below,10089154_B4,Church
10089154,OutKast,Speakerboxxx / The Love Below,10089154_C1,Bamboo (Interlude)
10089154,OutKast,Speakerboxxx / The Love Below,10089154_C2,Tomb Of The Boom
10089154,OutKast,Speakerboxxx / The Love Below,10089154_C3,E-Mac (Interlude)
10089154,OutKast,Speakerboxxx / The Love Below,10089154_C4,Knowing
10089154,OutKast,Speakerboxxx / The Love Below,10089154_C5,Flip Flop Rock
10089154,OutKast,Speakerboxxx / The Love Below,10089154_D1,Interlude
10089154,OutKast,Speakerboxxx / The Love Below,10089154_D2,Reset
10089154,OutKast,Speakerboxxx / The Love Below,10089154_D3,D-Boi (Interlude)
10089154,OutKast,Speakerboxxx / The Love Below,10089154_D4,Last Call
10089154,OutKast,Speakerboxxx / The Love Below,10089154_D5,Bowtie (Postlude)
10089154,OutKast,Speakerboxxx / The Love Below,10089154_E1,The Love Below (Intro)
10089154,OutKast,Speakerboxxx / The Love Below,10089154_E2,Love Hater
10089154,OutKast,Speakerboxxx / The Love Below,10089154_E3,God (Interlude)
10089154,OutKast,Speakerboxxx / The Love Below,10089154_E5,Spread
10089154,OutKast,Speakerboxxx / The Love Below,10089154_E6,Where Are My Panties?
10089154,OutKast,Speakerboxxx / The Love Below,10089154_F1,Prototype
10089154,OutKast,Speakerboxxx / The Love Below,10089154_F2,She Lives In My Lap
10089154,OutKast,Speakerboxxx / The Love Below,10089154_F3,Hey Ya!
10089154,OutKast,Speakerboxxx / The Love Below,10089154_F4,Roses
10089154,OutKast,Speakerboxxx / The Love Below,10089154_G1,"Good Day, Good Sir"
10089154,OutKast,Speakerboxxx / The Love Below,10089154_G2,Behold A Lady
10089154,OutKast,Speakerboxxx / The Love Below,10089154_G3,Pink & Blue
10089154,OutKast,Speakerboxxx / The Love Below,10089154_G4,Love In War
10089154,OutKast,Speakerboxxx / The Love Below,10089154_H2,My Favorite Things
10089154,OutKast,Speakerboxxx / The Love Below,10089154_H3,Take Off Your Cool
10089154,OutKast,Speakerboxxx / The Love Below,10089154_H4,Vibrate
10089154,OutKast,Speakerboxxx / The Love Below,10089154_H5,A Life In The Day Of Benjamin André (Incomplete)
23122910,Deas,System Theory EP,23122910_A1,Isolation
23122910,Deas,System Theory EP,23122910_A2,Abroad
23122910,Deas,System Theory EP,23122910_B1,Function 7 
23122910,Deas,System Theory EP,23122910_B2,Sytem Theory
785034,Assassin,Perles Rares (1989-2002),785034_A1,La Formule Secrète
785034,Assassin,Perles Rares (1989-2002),785034_A2,La Peur Du Métissage
785034,Assassin,Perles Rares (1989-2002),785034_B1,Shoota Babylone (Remix)
785034,Assassin,Perles Rares (1989-2002),785034_B2,Clef De Sous-Sol
785034,Assassin,Perles Rares (1989-2002),785034_B3,Paris Zoo
785034,Assassin,Perles Rares (1989-2002),785034_C1,Le Témoin
785034,Assassin,Perles Rares (1989-2002),785034_C2,Ou Va Se Diriger Ton Stylo?
785034,Assassin,Perles Rares (1989-2002),785034_C3,Undaground Connexion
785034,Assassin,Perles Rares (1989-2002),785034_C4,Wake Up! (Réveillez-Vous!)
785034,Assassin,Perles Rares (1989-2002),785034_D2,Autre Dimension
785034,Assassin,Perles Rares (1989-2002),785034_D4,Straight To The Top
5168053,Oniris,Let Us Fight,5168053_A,Let Us Fight
5168053,Oniris,Let Us Fight,5168053_B,Better Days
4916093,Oniris,Hope & Despair,4916093_A2,Hope & Despair
4916093,Oniris,Hope & Despair,4916093_B2,Better Days (Electric Rescue Remix)
5385037,The Driver,The Wolves,5385037_A1,Wolves (Aubervilliers Mix) 
5385037,The Driver,The Wolves,5385037_A2,Wolves (Chord Mix) 
5385037,The Driver,The Wolves,5385037_B1,La Crypte (Original Mix)
5385037,The Driver,The Wolves,5385037_B2,Wolves (Traumer Vision)
6614615,Laurent Maldo,Never Stop,6614615_A1,Never Stop
6614615,Laurent Maldo,Never Stop,6614615_A2,The Lighthouse
6614615,Laurent Maldo,Never Stop,6614615_B1,Run
6614615,Laurent Maldo,Never Stop,6614615_B2,The Lighthouse (Madben Remix)
7141353,Oniris,Madness,7141353_A1,Madness
7141353,Oniris,Madness,7141353_A2,Daylight
7141353,Oniris,Madness,7141353_B1,Way Out
7141353,Oniris,Madness,7141353_B2,Madness (Gregor Tresher Remix)
8561573,Madben,Into The Woods,8561573_A1,Into The Woods
8561573,Madben,Into The Woods,8561573_A2,Light Sentence
8561573,Madben,Into The Woods,8561573_B1,Tension (SLAM Remix)
8561573,Madben,Into The Woods,8561573_B2,Tension
10011574,Vince Watson,Elektrik,10011574_A1,Elektrik
10011574,Vince Watson,Elektrik,10011574_B1,Elektrik (Madben Remix)
