,album_id,artist,album,track_id,title,spotify_id
1346,4390281,Various,The Jazz Story,4390281_K2,Cool Blues,
1348,4390281,Various,The Jazz Story,4390281_K4,Round Midnight,
1350,4390281,Various,The Jazz Story,4390281_K7,Confirmation,
1351,4390281,Various,The Jazz Story,4390281_K8,Ornithology,
1352,4390281,Various,The Jazz Story,4390281_L1,Slam Slam Blues,
1354,4390281,Various,The Jazz Story,4390281_L5,Bird Feathers,
1355,4390281,Various,The Jazz Story,4390281_L7,Move,
1357,4390281,Various,The Jazz Story,4390281_M2,Bikini,
1358,4390281,Various,The Jazz Story,4390281_M3,Woodchoppers Holiday,
1359,4390281,Various,The Jazz Story,4390281_M5,Mischievous Lady,
1361,4390281,Various,The Jazz Story,4390281_N1,Midgets,
1362,4390281,Various,The Jazz Story,4390281_N2,Stop-Time Blues,
1363,4390281,Various,The Jazz Story,4390281_N3,Curbstone,
1364,4390281,Various,The Jazz Story,4390281_N4,The Chase,
1365,4390281,Various,The Jazz Story,4390281_N5,Strictly Instrumental,
1366,4390281,Various,The Jazz Story,4390281_O1,Dog My Cats,
1367,4390281,Various,The Jazz Story,4390281_O3,Speak Low,
1368,4390281,Various,The Jazz Story,4390281_O4,Rosalie,
1369,4390281,Various,The Jazz Story,4390281_P1,Caravan,
1370,4390281,Various,The Jazz Story,4390281_P3,All Of You,
1371,4390281,Various,The Jazz Story,4390281_P4,Mistry,
1372,4390281,Various,The Jazz Story,4390281_P5,Broadway,
1373,4390281,Various,The Jazz Story,4390281_Q2,Hershey Bar,
1374,4390281,Various,The Jazz Story,4390281_Q3,Francy Pants,
1375,4390281,Various,The Jazz Story,4390281_Q4,Loose Walk,
1376,4390281,Various,The Jazz Story,4390281_Q5,When The Blues Come On,
1377,4390281,Various,The Jazz Story,4390281_R1,Bop City,
1378,4390281,Various,The Jazz Story,4390281_R2,How Do I Love You,
1379,4390281,Various,The Jazz Story,4390281_R3,Indian Blanket,
1380,4390281,Various,The Jazz Story,4390281_R4,Pink Satin,
1381,4390281,Various,The Jazz Story,4390281_R5,Mosquito Knees,
1382,4390281,Various,The Jazz Story,4390281_R6,Villa Zazz,
1383,4390281,Various,The Jazz Story,4390281_S1,Loose Wig,
1384,4390281,Various,The Jazz Story,4390281_S2,Like Someone In Love,
1385,4390281,Various,The Jazz Story,4390281_S3,Stallion,
1386,4390281,Various,The Jazz Story,4390281_S4,Trilogy Pogo,
1388,4390281,Various,The Jazz Story,4390281_T2,Sonnymoon For Two,
1389,4390281,Various,The Jazz Story,4390281_T4,Thrice Upon A Time,
1401,2407452,Various,Woodstock - Music From The Original Soundtrack And More,2407452_A2,Going Up The Country,
1402,2407452,Various,Woodstock - Music From The Original Soundtrack And More,2407452_A3-1,Stage Announcements,
1403,2407452,Various,Woodstock - Music From The Original Soundtrack And More,2407452_A3-2,Freedom,
1404,2407452,Various,Woodstock - Music From The Original Soundtrack And More,2407452_A4,Rock & Soul Music,
1405,2407452,Various,Woodstock - Music From The Original Soundtrack And More,2407452_A5,Coming Into Los Angeles,
1406,2407452,Various,Woodstock - Music From The Original Soundtrack And More,2407452_A6,At The Hop,
1407,2407452,Various,Woodstock - Music From The Original Soundtrack And More,2407452_B3,Joe Hill,
1408,2407452,Various,Woodstock - Music From The Original Soundtrack And More,2407452_B4-1,Stage Announcements,
1409,2407452,Various,Woodstock - Music From The Original Soundtrack And More,2407452_B4-2,Suite: Judy Blue Eyes,
1410,2407452,Various,Woodstock - Music From The Original Soundtrack And More,2407452_B5,Sea Of Madness,
1411,2407452,Various,Woodstock - Music From The Original Soundtrack And More,2407452_C1,Wooden Ships,
1412,2407452,Various,Woodstock - Music From The Original Soundtrack And More,2407452_C3-1,Stage Announcements,
1414,2407452,Various,Woodstock - Music From The Original Soundtrack And More,2407452_C3-3,"Rainstorm, Crowd Sounds, Announcements & General Hysteria",
1415,2407452,Various,Woodstock - Music From The Original Soundtrack And More,2407452_D1-1,Crowd Rain Chant,
