,album_id,artist,album,track_id,title,spotify_id
224,9241732,Silvia Trix,Intercity Ep,9241732_B2,Crossings,64gvlXRoLkUUx8zWpXjTBb
225,9395142,French 79,Olympic,9395142_A1,Between The Buttons,1LpZP3BXZokmhMi0IN73yY
226,9395142,French 79,Olympic,9395142_A2,Golden Times,559C5y1XbfhzB8xYjleIQQ
227,9395142,French 79,Olympic,9395142_A3,DDROPP,4ZNpdroEGIgnr3O7IvlUsB
228,9395142,French 79,Olympic,9395142_A4,Diamond Veins,4rHJKVoz8NcL9Bd5Z5DVDG
229,9395142,French 79,Olympic,9395142_A5,Olympic,5HCYfovH50URGDvpfH571V
230,9395142,French 79,Olympic,9395142_A6,Hush Hush,2AQxYyQR0gi5mNb0QsFOQJ
231,9395142,French 79,Olympic,9395142_B1,Vertigo Valley,5leH1cR5UPBWT3MFmOXyGl
232,9395142,French 79,Olympic,9395142_B2,Invisible Moon,5e1kNatja9w74M4PU8Ki6d
233,9395142,French 79,Olympic,9395142_B3,After Party,6NNg7SJpg7p9VCZXhSqiaE
234,9395142,French 79,Olympic,9395142_B4,1979,0mLJdJPzeWzBegRrfmeiwM
235,9395142,French 79,Olympic,9395142_B6,Pantheon Neon,25Yj5EDimlbwUWEFXJmAmw
236,12641837,System Of A Down,Toxicity,12641837_A1,Prison Song,3AwLxSqo1jOOMpNsgxqRNE
237,12641837,System Of A Down,Toxicity,12641837_A2,Needles,6V8oQXzymTzpEZOsiBiyJT
238,12641837,System Of A Down,Toxicity,12641837_A3,Deer Dance,2SpGXD7EbexndFmmThrnsy
239,12641837,System Of A Down,Toxicity,12641837_A4,Jet Pilot,0a2kVvbCbk52gmeFQFHNaG
240,12641837,System Of A Down,Toxicity,12641837_A5,X,4HIKcEKSijQLW5YNLsdLzt
241,12641837,System Of A Down,Toxicity,12641837_A6,Chop Suey!,2DlHlPMa4M17kufBvI2lEN
242,12641837,System Of A Down,Toxicity,12641837_A7,Bounce,6dr2T6DRymdT1jfSUxDgut
243,12641837,System Of A Down,Toxicity,12641837_A8,Forest,1B5Y9I5wPfvD3C2A81A36C
244,12641837,System Of A Down,Toxicity,12641837_B1,ATWA,6gCVA6ja6g0foIsWv0RuSZ
245,12641837,System Of A Down,Toxicity,12641837_B2,Science,58lcznIKSNlOVdmklrPA99
246,12641837,System Of A Down,Toxicity,12641837_B3,Shimmy,1a3X8Y882vwSnlnHqf9ztF
247,12641837,System Of A Down,Toxicity,12641837_B4,Toxicity,0snQkGI5qnAmohLE7jTsTn
248,12641837,System Of A Down,Toxicity,12641837_B5,Psycho,6VzV6RI7641o57TuqfGRpj
249,12641837,System Of A Down,Toxicity,12641837_B6,Aerials,4e9eGQYsOiBcftrWXwsVco
